name,module_name,value,updated_at
syria,Registered Syrian Refugees,3102334,2010-11-30
syria,Registered Syrian Refugees,1490186,2009-06-16
syria,Registered Syrian Refugees,2301668,2009-12-30
syria,Registered Syrian Refugees,205027,2008-09-02
syria,Registered Syrian Refugees,490581,2008-12-26
syria,Registered Syrian Refugees,1014558,2009-04-01
syria,Registered Syrian Refugees,483939,2008-12-24
syria,Registered Syrian Refugees,2991511,2010-10-08
syria,Registered Syrian Refugees,99892,2008-07-02
syria,Registered Syrian Refugees,2863491,2010-07-07
syria,Registered Syrian Refugees,686181,2009-02-09
syria,Registered Syrian Refugees,1885818,2009-09-11
syria,Registered Syrian Refugees,972439,2009-03-24
syria,Registered Syrian Refugees,529308,2009-01-10
syria,Registered Syrian Refugees,2431147,2010-02-13
syria,Registered Syrian Refugees,2893110,2010-07-22
syria,Registered Syrian Refugees,407100,2008-11-30
syria,Registered Syrian Refugees,2966942,2010-09-03
syria,Registered Syrian Refugees,463236,2008-12-18
syria,Registered Syrian Refugees,3104629,2010-12-03
syria,Registered Syrian Refugees,60736,2008-05-07
syria,Registered Syrian Refugees,71749,2008-05-30
syria,Registered Syrian Refugees,3102314,2010-11-25
syria,Registered Syrian Refugees,509402,2009-01-03
syria,Registered Syrian Refugees,1754278,2009-08-18
syria,Registered Syrian Refugees,20437,2008-02-23
syria,Registered Syrian Refugees,306555,2008-10-31
syria,Registered Syrian Refugees,711447,2009-02-14
syria,Registered Syrian Refugees,2114725,2009-10-27
syria,Registered Syrian Refugees,1265066,2009-05-05
syria,Registered Syrian Refugees,1213869,2009-04-23
syria,Registered Syrian Refugees,1358806,2009-05-21
syria,Registered Syrian Refugees,246131,2008-09-26
syria,Registered Syrian Refugees,2831254,2010-06-25
syria,Registered Syrian Refugees,123246,2008-07-22
syria,Registered Syrian Refugees,130613,2008-08-01
syria,Registered Syrian Refugees,364047,2008-11-14
syria,Registered Syrian Refugees,1323866,2009-05-17
syria,Registered Syrian Refugees,2433755,2010-02-05
syria,Registered Syrian Refugees,2119120,2009-11-01
syria,Registered Syrian Refugees,385224,2008-11-20
syria,Registered Syrian Refugees,1705820,2009-07-31
syria,Registered Syrian Refugees,1778420,2009-08-22
syria,Registered Syrian Refugees,2934762,2010-08-12
syria,Registered Syrian Refugees,59841,2008-05-02
syria,Registered Syrian Refugees,2100034,2009-10-22
syria,Registered Syrian Refugees,529307,2009-01-11
syria,Registered Syrian Refugees,2792551,2010-06-11
syria,Registered Syrian Refugees,1416104,2009-06-03
syria,Registered Syrian Refugees,3026038,2010-10-21
syria,Registered Syrian Refugees,222165,2008-09-15
syria,Registered Syrian Refugees,1724584,2009-08-08
syria,Registered Syrian Refugees,677996,2009-02-08
syria,Registered Syrian Refugees,1767135,2009-08-20
syria,Registered Syrian Refugees,2764306,2010-06-01
syria,Registered Syrian Refugees,1840028,2009-08-31
syria,Registered Syrian Refugees,62133,2008-05-10
syria,Registered Syrian Refugees,2450156,2010-02-10
syria,Registered Syrian Refugees,1994779,2009-09-25
syria,Registered Syrian Refugees,2095450,2009-10-21
syria,Registered Syrian Refugees,314137,2008-11-03
syria,Registered Syrian Refugees,1993915,2009-09-23
syria,Registered Syrian Refugees,2989565,2010-09-14
syria,Registered Syrian Refugees,772377,2009-02-27
syria,Registered Syrian Refugees,2834976,2010-06-25
syria,Registered Syrian Refugees,583877,2009-01-22
